,,,,,,,,,,,,,,,
Analyzed Date,Plant,รายการ,ประเภท,lot,วันที่ผลิต,ผลที่ไม่ผ่าน,,,,,,,,,
7/2/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260206,ผ.260204 ม.260603,Bacillus cereus =150 cfu/g,,,,,,,,,
7/2/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260206,ผ.260205 ม.260604,Bacillus cereus =180 cfu/g,,,,,,,,,
10/2/2026,1ฺB,"สาหร่ายห่อกุ้ง (ผสมไก่และหมู)EZY88g,7-11",FG,A1-A6,090226,Detected Listeria monocytogenes,,,,,,,,,
10/2/2026,3,"ต้มจับฉ่ายครีเอเตอร์300กรัม,Fz Monitor ประจำเดือน ก.พ. 2026",FG,A1,090226,"Bacillus cereus =1,300 cfu/g",,,,,,,,,
16/2/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,A2 A9 B1,140226,Detected Listeria monocytogenes,,,,,,,,,
25/2/2026,3,"แกงเห็ดรวมมิตร 225 กรัม IMP2026, Frozen Monitor เดือน ก.พ. 2026",FG,A1-A4,240226,"Escherichia coli =20 cfu/g,Detected Salmonella spp",,,,,,,,,
28/2/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260227,ผ.260221 ม.260620,Bacillus cereus =380 cfu/g,,,,,,,,,
28/2/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260227,ผ.260223 ม.260622,Bacillus cereus =340 cfu/g,,,,,,,,,
28/2/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260227,ผ.260224 ม.260623,Bacillus cereus =280 cfu/g,,,,,,,,,
6/3/2026,2,"ไส้เบอร์เกอร์กุ้งย่างและชีส 41 กรัม, WIP",FG,"A1,A2,A3",05/03/26 1,Detected Listeria monocytogenes,,,,,,,,,
10/3/2026,1B,เส้นหมี่ผัดซีอิ๊วเจ ตราวีจีฟอร์เลิฟ 300ก,FG,A1,090326,Coliforms =440 cfu/g,,,,,,,,,
14/3/2026,4,"แกงส้มชะอมกุ้ง 310 กรัม (LV2026),Chilled",FG,"A2,A7,A8",130326,Bacillus cereus =380 cfu/g,,,,,,,,,
19/3/2026,RM,FZNfullyfriedSLWT fishcube4-8g/PC#SA,RM,ร.260312/2,ผ.260115 ม.270715,Detected Listeria monocytogenes,,,,,,,,,
20/3/2026,3,"ซุปผักสไตล์ลาว 160 กรัม, Frozen Monitor PTR",FG,"A1,A2,A3,A4",260319,"Total Plate Count = 140,000 cfu/g    Coliform = 610 cfu/g , Yeasts & Molds = 2,600 cfu/g และ Detected Listeria monocytogenes",,,,,,,,,
24/3/2026,1B,"ก๋วยจั๊บญวน195g.,FZ",FG,A1-A9,230326,"Total Plate Count = 2,400,000 cfu/g ,E.coli = 20 cfu/g",,,,,,,,,
26/3/2026,BNG1,"สาหร่ายวากาเมะน้ำมันงา 55 กรัม, Chilled",FG,A2 A5 B0,250326,Detected Listeria monocytogenes,,,,,,,,,
28/3/2026,1B,ข้าวกะเพราหมู 215 กรัม ตราเดลี่ไทย,FG,A1-A2,270326,Detected Listeria monocytogenes,,,,,,,,,
28/3/2026,BNG2,"ข้าวไข่เจียวกุ้ง240g levelup2024,Chilled (Audit Process)",FG,A6,280326,Detected Listeria monocytogenes,,,,,,,,,
30/3/2026,3,"ซุปผักสไตล์ลาว 160 กรัม, Frozen Monitor",FG,A1,260328,Detected Salmonella spp.,,,,,,,,,
31/3/2026,RM,ปลาแซลมอนย่างเกลือแช่แข็ง #SA,RM,ร.260324B2,ผ.260323 ม.260918,Detected Listeria monocytogenes,,,,,,,,,
3/4/2026,BNG1,โอนิกิริซาบะย่างซีอิ๊ว 150g (big size),FG,"A2,A8,B5",020426,Detected Listeria monocytogenes,,,,,,,,,
3/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A7,B3",020426,Detected Listeria monocytogenes,,,,,,,,,
3/4/2026,3,"ข้าวหอมมันปูอกไก่จิ้มแจ่ว255gLV26,Chill Monitor เดือน เม.ย. 2026",FG,"A2,A3,A4",260403,Detected Listeria monocytogenes,,,,,,,,,
4/4/2026,RM,ปลาแซลมอนย่างเกลือแช่แข็ง #SA Lot.05,RM,ร.260323,ผ.260320 ม.270920,Detected Listeria monocytogenes,,,,,,,,,
6/4/2026,1A,"FZN Hot Maki Vegetable Miso, Loblaw",FG,A1-A6,0404261,Detected Listeria monocytogenes,,,,,,,,,
6/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A6,B2",050426,Detected Listeria monocytogenes,,,,,,,,,
7/4/2026,BNG1,"ซูชิโรลปูอัดไข่กุ้ง100g (2025),Chiled",FG,"A2, A5,A8",060426,Detected Listeria monocytogenes,,,,,,,,,
7/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A7,B2",060426,Detected Listeria monocytogenes,,,,,,,,,
9/4/2026,BNG1,"ซูชิโรลปูอัดไข่กุ้ง100g (2025),Chiled",FG,"A2,A5,A8",080426,Detected Listeria monocytogenes,,,,,,,,,
11/4/2026,2,"ขนมจีบหมูทรงเครื่องEZYGO60gLV2025,7-11",FG,A1,11/4/2026,Bacillus cereus =300 cfu/g,,,,,,,,,
16/4/2026,BNG1,"ซูชิโรลปูอัดไข่กุ้ง100g (2025),Chiled",FG,"A2,A5,A9",110426,Detected Listeria monocytogenes,,,,,,,,,
16/4/2026,BNG1,"	ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A5,A9",110426,Detected Listeria monocytogenes,,,,,,,,,
16/4/2026,3,"โจ๊กหมู 400 กรัม LV2025,Chilled Monitor Delay Vac เกิน STD",FG,"A2,A3,A4,A5,A6",260415,Detected Listeria monocytogenes,,,,,,,,,
21/4/2026,4,สเต๊กหมูอีซี่โกByซานตาเฟ่220g7-11 **PTR**,FG,A4,200426,Detected Listeria monocytogenes,,,,,,,,,
21/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A6,B2",200426,Detected Listeria monocytogenes,,,,,,,,,
22/4/2026,3,"หมกหน่อไม้หมู 140 กรัม, FZ Monitor เดือน เม.ย. 2026",FG,"A1,A2,A3",260421,Yeasts & Molds =300 cfu/g,,,,,,,,,
23/4/2026,BNG1,"ซูชิโรลปูอัดไข่กุ้ง100g (2025),Chiled",FG,"A2,A5,A8",220426,Detected Listeria monocytogenes,,,,,,,,,
23/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A5,B1",220426,Detected Listeria monocytogenes,,,,,,,,,
24/4/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A6,B1",230426,Detected Listeria monocytogenes,,,,,,,,,
25/4/2026,1A,"น้ำจิ้มข้าวมันไก่35g(อิ่มคุ้ม)IMP26,WIP Test run",FG,A3-A8,240426,Bacillus cereus =60 cfu/g,,,,,,,,,
28/4/2026,1B,"น้ำจิ้มข้าวมันไก่35g(อิ่มคุ้ม)IMP26,WIP",FG,A1-A2,270426,Bacillus cereus =170 cfu/g,,,,,,,,,
28/4/2026,1B,"น้ำจิ้มข้าวมันไก่35g(อิ่มคุ้ม)IMP26,WIP",FG,A3-A6,270426,Bacillus cereus =260 cfu/g,,,,,,,,,
2/5/2026,BNG2,"ข้าวแกงไตปลา+ไข่เจียว300g LV2025,Chilled",FG,A2,290426,E.coli =10 cfu/g,,,,,,,,,
